"","x"
"79","랑종별점 - 총 10점 중1괜히봄... 블랙위도우볼걸 시간날림 노잼 신고"
"80","랑종별점 - 총 10점 중10난 재미있었다 저평가되는 이유를 모르겠 ㅠ 신고"
"81","랑종별점 - 총 10점 중1ㅋㅋ 무전기나 던지고 스탭구성에 6개월 걸린 거  아닌가 모르겠네 신고"
"82","랑종별점 - 총 10점 중8홍보문구 안보고 아무기대 없이 '태국공포영화' 이정도로 생각하고 봐서 그런지 볼만했네요. 티켓 할인받든가 vod로 볼 기회있으면 킬링타임으로 괜찮다고 생각들어요. 신고"
"83","랑종별점 - 총 10점 중1시간이 아까웠다... 신고"
"84","랑종별점 - 총 10점 중11점도 주기 싫다 OOO기 영화. 신고"
"85","랑종별점 - 총 10점 중4영화 자체는 신선했다만 (다소 설마했던 장면들이 불쾌했음) 카메라 앵글 진짜 어지러워서 멀미했네요ㅡㅡ;; 3D울렁증같은거 있으신 분들은 TV로 보세요 신고"
"86","랑종별점 - 총 10점 중10와 간만에 무서운거 봤네요. 스토리 몰입감 퇴마 5일전, 4일전, 3일전 등 연출도 보통이 아닙니다 강추!!! 신고"
"87","랑종별점 - 총 10점 중10이게안무섭다고???? 신고"
"88","랑종별점 - 총 10점 중7공포영화라 보고나서 찝찝한건 정말 잘만든 영화가 맞지만 뭔가 ... 뭔가 머리속을 다른 생각으로 정화 할 필요가 있을 찝찝함? 입니당 신고"
"89","랑종별점 - 총 10점 중1솔직해지자. 우리가 아는 그 익숙한 이름만 믿고 입장한 사람이 적지 않았을 것이라고 생각한다. 어디서 본듯한 장면들, 뻔한 클리셰, 개연성도 떨어진다. 복선만 던져두고 해석은 너희몫이라고 던지는 허접한 무당의 말 같다. 본인 해석이 그럴싸 하면 쾌재고, 본인의 수가 높다면 바얏이 보일 것이다.  극장에서 나오며 들었던 평, 주변에서 가장 많이 들은 평, 아래 다른 평에도 더러 보이는 평'보긴 봣는데 나오고 나니 기분이 별로였어'... 왜 솔직하지 못하는가 당신이 방금 본 것은 당신에게 별로인 영상이었던 것이다. 가독성과 직관성이 떨어지고 의미없는 장면에 감독의 의도된 연출이 절절히 느껴지는 촌극 수준이었다. 그렇게 느끼는 이유는 아래와 같다. 1. 달마야놀자에서 불상 귀가 떨어진 장면에서 착안한것인가 이미 결말 다 알겠다. 그자의 마음속에 달마가 없다. 그럼에도 어느정도 구마를 행함 여기서 설정 충돌 2. 그 유명한 '불필요한 웃음' 퍼레이드, 모두가 다 멍멍이 좀비가 되는데 카메라맨은 다들 멀쩡하구나 차라리 고정 카메라로 하지 그랬수 3. 파라노말 엑티비티 안본사람 찾는게 더 힘들지 않을까? 뻔한 놀래키기는 팬 서비스인가 4. 아조씨 다리 꺾인장면은 그 영화의 오마쥬? 5. 곤지암 야간카메라 6. 장산범 태국 진출 언제한겨 아 진짜 쓰다보니까 킹받는다 밍밍이가 했던 행동은 그냥 죄책감의 연속이었는데 이상한 곳에서 신내림 한번 받았다고 갑자기 잡귀 폭발! 누구도 날 막을수 없으셈~그럼 그 허접해보이는 신내림 아저씨가 사실은 최강 도사님이셨네 어이구 그러셨네요쫌!!! 영화인으로써 지켜야 하는 선좀 지킵시다 설정이 왓다리 갓다리 솔직히 유명세 없는 감독이나 작가가 이 시나리오 써왓다고 하면 면전에 던질거면서 그리고 말하겠지 '이게 영화야?' 머리에 줄 묶고 피뽑는 도사님께서 갑자기 아~ 나 모르겠어 응애 나 아기 무당하고 그날 저녁에 울다가 열반~ 흑색 배경에 '열반을 라따뚜이라고 한다.' 개복치임? ㅋ 실망입니다. 신고"
"90","랑종별점 - 총 10점 중10난 너무무서워서 친구랑 벌벌떨면서 서로 의지하면서 봤는데...평점왜이래? 저평가 된거같아서 리뷰남겨여.. 신고"
"91","랑종별점 - 총 10점 중1역대급 노잼..놀래는 장면 5번도 안될 듯 그냥 시끄럽기만하고... 평 보고 영화 보시려는분들 그 돈 아끼셔서 치킨 사드세요 정신건강에 이롭습니다 신고"
"92","랑종별점 - 총 10점 중10미국 공포가 아니라 한국이나 일본 같은 느낌의 진짜 무서운 ㄹㅇ로 공포 영화를 보고싶다면 추천.평소에 공포. 고어. 스릴러. 다 좋아하는데 영화관에서 남자친구랑 ㄷ ㄷ떨면서 봄. 그냥 진짜 내용있는 미국식 공포물이 아니라 일본. 홍콩처럼 계속 끝까지 무서운 장면만 나오는 영화 ㅂㅗ고싶으면 보셈. 난 일본식 공포 영화 싫어하는데 이 영화 엄청나게 무서워서 만점 줌... 신고"
"93","랑종별점 - 총 10점 중8초반은 지루한대 갈수록 무서워짐 신고"
"94","랑종별점 - 총 10점 중1초반 카메라 어지러워서 토할뻔;; 야한장면 여주섹시했음. 나머지는 그냥 좀비영화 신고"
"95","랑종별점 - 총 10점 중2본전 생각에  끝까지 보고.우롱당한 생각에 화가나서  소주한잔했습니다.영화가지고 장난하지. 마세요 신고"
"96","랑종별점 - 총 10점 중1초반은 무지 지루해서 잠들뻔 했는데, 막판에는 좀비물로 마무리... 그냥 뭔가 시간도.. 돈도 내 기름값도 아까운.... 신고"
"97","랑종별점 - 총 10점 중4기분나쁘고 밍밍한데 밍은 너무 이쁜데 신고"
"98","랑종별점 - 총 10점 중10기괴하고 너무 좋아요~!!  강추 신고"
"99","랑종별점 - 총 10점 중2바얀신의 저주가 제작진에게 내린듯 신고"
"100","랑종별점 - 총 10점 중10솔직히 초반에는 약간 지루한건 사실이지만 후반부엔 너무 무서워서 오디오만 들은거같다 ㅋㅋ어처구니 없이 웃긴장면도 많앗고후반부 몰입도도 좋았고 갠적으로 정말 재밌게 봤다 ~~~!!!! 신고"
"101","랑종별점 - 총 10점 중6그냥그래요 신고"
"102","랑종별점 - 총 10점 중10한국 무속인과 많이 닮았다는 점. 그냥 봤을때와 무속인 세계를 알고 봤을때 다름. 영화 결말은 내가 느끼기엔 조상이 지은 죄가 많으면 후대가 뒤집어 쓴다는 거임. 우리도 시대가 지나면 조상이 되는거임. 자식이 없고 대가 끊긴다고 해도 어디로든 이어진다. 아무생각 없이 공포를 즐기기위해 보는것과 대사를 생각하면서 보는것과는 다름. 신고"
"103","랑종별점 - 총 10점 중8재밌는데 평점 왜이래;; 곡성하고는 안 봐서 잘 모르겠는데 이 영화는 곤지암이랑 비교해야 하는게 맞는듯. 곤지암 진짜 콧방귀 끼면서 봤는데 이 영화는 숨죽이면서 봤어요! 비교도안될정도로! 신고"
"104","랑종별점 - 총 10점 중1공포영화 맞나요? 보는 내내 실소만 나왔습니다. 신고"
"105","랑종별점 - 총 10점 중6중후반까진 괜찮았어요. 꽤 재밌게 봤는데 후반부가 참.... 아쉽네요.. 신고"
"106","랑종별점 - 총 10점 중1곡성은 숨은 내용 찾는 재미라도 있었는데 이건 숨은 내용이고 뭐고 해석 하고 싶지도 않았고 그냥 감독 자기 좋아하는거 다 짬뽕 시켜놓은 느낌 신고"
"107","랑종별점 - 총 10점 중1지루하다… 조금 놀래는 장면이 있지만 공포처럼 무섭진 않다… 신고"
"108","랑종별점 - 총 10점 중5지루하다 보지마라 ㅋㅋㅋ 신고"
"109","랑종별점 - 총 10점 중10귀신이 귀신을 쫓아 내는게 말이 안됨. 다 손아귀에 놀아나는거제 신고"
"110","랑종별점 - 총 10점 중85점을 마음먹고 보러 갔다가 8점으로 웃으며 나왔습니다. 곡성과는 비슷한듯 다른 영화입니다. 저는 오히려 곡성에 비해 복잡하지 않고 기승전결이 더 깔끔하게 느껴져 좋았어요! 공포물 마니아로서 평점보고 나중에 집에서 봤으면 너무너무 아쉬웠을꺼 같네요. 넷플도 왓챠도 엔간한 공포물 다 봐서 볼꺼 없었는데 간만에 시원~하게 영화 즐겼습니다! 36도의 무더위가 너무나도 포근하고 따뜻하게 느껴졌네요. 평점때문에 망설이시는 공포물 좋아하시는 분들은 마음 열고 5점이다~ 생각하시고 한번 봐보세요! 후회 안하실꺼에요 평점 떨어지는게 너무 아까워서 첨으로 리뷰 남깁니다. 신고"
"111","랑종별점 - 총 10점 중8무섭고 자극적이에여 밍의 연기력은 최고….. 신고"
"112","랑종별점 - 총 10점 중10초반엔 지루하지만 후반부에 재밌음 신고"
"113","랑종별점 - 총 10점 중2밍?밍.. 밍..?밍 신고"
"114","랑종별점 - 총 10점 중10신고"
"115","랑종별점 - 총 10점 중10참 ㅋㅋ 감상평을 보면 한심한 사람들 너무 많고 그런 글에 공감하는 사람들도 참 많네... 감상평을 자기 마음대로 쓰는건 좋은데, 뭐 10점 주는 사람은 어떤 사람들이네 지들이 정하는거 왜이렇게 한심하냐 ㅋㅋㅋ 사람마다 영화를 좋아하는 포인트가 다른거지 얼마나 못배워먹었으면 저런글을 쓰고 좋아요를 누를까... 신고"
"116","랑종별점 - 총 10점 중10기괴하다, 기분 드럽다, 등등의 1점 후기들이 꽤 보이는데 일종의 '게임 X같이 하네' 와 비슷한 반응으로 보면 될 것. 별점은 이러한 편향을 조정하는데 보태고자 10점 드립니다.아쉬움이 분명 있으나 충분히 괜찮은 수작. 신고"
"117","랑종별점 - 총 10점 중106점은 아닌거같아요. 나중에 나오는 공포영화보면 랑종이 수작이였을껄? 솔직히 마지막10분빼고 전반적으로 긴장감 장난아니였어요. 신고"
"118","랑종별점 - 총 10점 중4페이크식 다큐인줄 모르고 봣다가 나중에 통수  지대루...무서운 장면이 군데군데 잇는데 뭔가 깔끔하지 못한 전개와 결말때문에 보고나면 찝찝한건 어쩔 수 없네 신고"
"119","랑종별점 - 총 10점 중9저는 공포 영화는 못보지만 좋아함저는 고어영화도 못보지만 좋아함 저는 좀비영화는 재미있게 잘봄 성은 영화는 더 좋아함약간의 공포 약간의 고어 약간의 좀비물 약간의 성인타임?? 모든게 적절하게 석여있어서 재미있게 킬링타임으로 볼만함 스토리는 개인적으로 탄탄한거 같았음 결말이 아쉽지만 개인적으로 저랑 같은 취향을 갖고 있으신 분들이면 한번 봐볼만한 영화인거 같음 저는 너무 재미있게 잘봤음 마지막 죽이고 싶은 여자 하나있는거 빼면?!!! 신고"
"120","랑종별점 - 총 10점 중10의도한 연출대로 성공한 영화. 그래서 무섭고 불쾌하다고 별점을 낮게 주는 것은 이상한 듯. 연기자들의 열연에 찬사를 보낸다. 신고"
"121","랑종별점 - 총 10점 중10초중반은 많이 지루했지만 후반부터 미쳤는데... 이게 안무서운거면 무슨 영화가 무섭다는거지? 신고"
"122","랑종별점 - 총 10점 중2후기에 당했습니다.절대 보지 마세요.무료영화 뜨면 보시길절대 비추무료영화도 아까움 신고"
"123","랑종별점 - 총 10점 중10다리가 후들거려서..저만 재밌나요..아몰라 나라도 높여야지 평점.. 신고"
