"","x"
"178","보스 베이비 2별점 - 총 10점 중10그냥 너무 웃김 영화관에서 보는데 사람들 다 웃었어ㅋㅋㅋ 너무 귀엽고 재밌어요 신고"
"179","보스 베이비 2별점 - 총 10점 중10정말 최고의 영화이고 완전 강추요 신고"
"180","보스 베이비 2별점 - 총 10점 중10정말 재밌고 최고의 영화에요 신고"
"181","보스 베이비 2별점 - 총 10점 중101.가족과 서먹한걸 핑계대지말고 진솔해져보자 2.부모의 사랑은 절대적이다 신고"
"182","보스 베이비 2별점 - 총 10점 중10갠적으로 팀 성인됬을때 목소리 너무 멋졌다.찾아보니 제임스마스던. 신고"
"183","보스 베이비 2별점 - 총 10점 중10보스베이비 1 안보고 봤는데도 진짜 재밌었음ㅋㅋ 이거보고 담날 바로 보스베이비 1봄 ㅋㅋ 신고"
"184","보스 베이비 2별점 - 총 10점 중1이거 노잼임  이거말고 베놈2 보는게 날듯하다 신고"
"185","보스 베이비 2별점 - 총 10점 중10솔직히 1이 더 재밌긴 한데 너무 귀여워요???? 벌써 아빠 삼촌이 됫다니 ㅠㅠㅠㅜ 신고"
"186","보스 베이비 2별점 - 총 10점 중10넘 재밌게 봤습니다! 어른인데도 감동이 잔잔하게 느껴져서 좋았어요 신고"
"187","보스 베이비 2별점 - 총 10점 중10대박!! 아이랑 웃고~ 웃고~ 감동받으며 봤어요^^ 신고"
"188","보스 베이비 2별점 - 총 10점 중10기대를 안하고 봤는데 가족애를 담은 내용으로 재밌게 봤어요 이여름 더위도 잠시나마 쉴힐겸 영화를 보러갔는데 잼있는 영화를 부채질하면서 봤네요 신고"
"189","보스 베이비 2별점 - 총 10점 중10어제 봤었는데 제가 봤던 영화중 집중을 제일 많이한 것 같습니다 그냥 보스베이비와 보스베이2 둘다 재미이습니다 신고"
"190","보스 베이비 2별점 - 총 10점 중9너무 재밌게봤어요~~^^ 신고"
"191","보스 베이비 2별점 - 총 10점 중10말이 필요없는 영화입니당 꼭 보세용 신고"
"192","보스 베이비 2별점 - 총 10점 중9인생의 삶을 보는 내용 신고"
"193","보스 베이비 2별점 - 총 10점 중10티나랑 테드,팀 어릴때 귀엽♡♡♡ 그리고 팀이 마르코스라고 할때 티나 할머니,할아버지가 못알아봐서 짠함~~ 신고"
"194","보스 베이비 2별점 - 총 10점 중10신고"
"195","보스 베이비 2별점 - 총 10점 중7신고"
"196","보스 베이비 2별점 - 총 10점 중10그냥 개잼 ㅅ.ㅂ ㅋㅋㅋ 신고"
"197","보스 베이비 2별점 - 총 10점 중10너무 귀엽고 너무 재미있어요! 감동도 주고 행복한 영화입니다 ㅠㅠ 신고"
"198","보스 베이비 2별점 - 총 10점 중10진짜진짜 너무 재밌었어요ㅠㅠ 다시 보고 싶어요ㅠㅠ 신고"
"199","보스 베이비 2별점 - 총 10점 중10기레기들은 평점이 왜리 낮은가요..ㅡㅡ.. 신고"
"200","보스 베이비 2별점 - 총 10점 중10진짜 코로나때 할거없었는데 기대진짜많이한만큼 진짜 너무재밌었어요ㅠㅠㅜ?? 신고"
"201","보스 베이비 2별점 - 총 10점 중2진짜 지루했어요ㅜㅜ,1편을보구 넘기대했는데, 졸았습니다 신고"
